mechanism,edge,layer,head,light_value,heavy_slice_same_head_value,heavy_full_rank,heavy_full_top_head,heavy_full_top_value,conclusion
reference_transfer_mid,X->R1,14,12,0.6466078559557596,0.6466078559557596,2,L19/H0,0.688603652375085,reproduced
reference_transfer_double,X->R1,4,4,0.4644745389620463,0.4644745389620463,11,L19/H0,0.688603652375085,shifted
prompt_control_mid,X->P,14,20,0.8860106468200684,0.8860106468200684,10,L12/H17,0.9893616331475121,reproduced
prompt_control_late,X->P,24,20,0.5880056222279867,0.5880056222279867,56,L12/H17,0.9893616331475121,shifted
source_to_ref_fusion,S->R1,24,8,0.16564473451352588,0.16564473451352588,114,L10/H1,0.7767044095432057,shifted
ref_to_source_fusion,R1->S,24,8,0.13575132687886557,0.1348597395653818,70,L10/H1,0.8292427403586251,shifted
source_writeback,S->X,24,20,0.4601176018808402,0.4601176018808402,13,L5/H22,0.7949647903442383,shifted
ref_writeback_late12,R1->X,24,12,0.5954575071147844,0.5956119649550494,28,L5/H22,0.9487660812730548,shifted
ref_writeback_late20,R1->X,24,20,0.683135705835679,0.6822464699838676,11,L5/H22,0.9487660812730548,shifted
