layer,edge,mean_light,mean_heavy_slice,mean_abs_diff,max_abs_diff,count
0,P->P,0.3648679554462433,0.3648679554462433,0.0,0.0,18
0,P->R1,0.07120898479802741,0.07120898479802741,0.0,0.0,18
0,P->S,0.09708972109688653,0.09708972109688653,0.0,0.0,18
0,P->X,0.48871153096357983,0.48871153096357983,0.0,0.0,18
0,R1->P,0.14034909040787336,0.14187716677278173,0.0015362004195553028,0.007133063148049734,18
0,R1->R1,0.6263044924517862,0.6250982066385107,0.001447870840434149,0.004622627707088711,18
0,R1->S,0.13334288004956213,0.1330643452070897,0.0008435977829827218,0.0041651305030373925,18
0,R1->X,0.14442274500341978,0.1441362359944512,0.00041373259101817574,0.0027926108416388984,18
0,S->P,0.20308987831916003,0.20308987831916003,0.0,0.0,18
0,S->R1,0.06192617089140649,0.06192617089140649,0.0,0.0,18
0,S->S,0.6464447546628566,0.6464447546628566,0.0,0.0,18
0,S->X,0.16014203799316307,0.16014203799316307,0.0,0.0,18
0,X->P,0.070350788903953,0.070350788903953,0.0,0.0,18
0,X->R1,0.028367781597707007,0.028367781597707007,0.0,0.0,18
0,X->S,0.085236931219697,0.085236931219697,0.0,0.0,18
0,X->X,0.8753850923644172,0.8753850923644172,0.0,0.0,18
4,P->P,0.8958730465835996,0.8958730465835996,0.0,0.0,18
4,P->R1,0.02027093220709099,0.02027093220709099,0.0,0.0,18
4,P->S,0.021517188391751714,0.021517188391751714,0.0,0.0,18
4,P->X,0.06663516350090504,0.06663516350090504,0.0,0.0,18
4,R1->P,0.017588874624944687,0.01799463976503295,0.00040616051695656553,0.0014964973225313066,18
4,R1->R1,0.8745691043878693,0.8744029468960233,0.000815179612901488,0.0019062827615177191,18
4,R1->S,0.08833788637242286,0.0885121058794408,0.00042063289997624386,0.0013113512712366465,18
4,R1->X,0.0730772483485197,0.07295267875580227,0.0005354620516300208,0.002005563062780047,18
4,S->P,0.023106615174732177,0.023106615174732177,0.0,0.0,18
4,S->R1,0.08499859828574985,0.08499859828574985,0.0,0.0,18
4,S->S,0.8853892719044405,0.8853892719044405,0.0,0.0,18
4,S->X,0.09069267821078207,0.09069267821078207,0.0,0.0,18
4,X->P,0.1013717383870648,0.1013717383870648,0.0,0.0,18
4,X->R1,0.1261490382668045,0.1261490382668045,0.0,0.0,18
4,X->S,0.12874267622828484,0.12874267622828484,0.0,0.0,18
4,X->X,0.684636305189795,0.684636305189795,0.0,0.0,18
14,P->P,0.6181418026487032,0.6181418026487032,0.0,0.0,18
14,P->R1,0.11987000648190992,0.11987000648190992,0.0,0.0,18
14,P->S,0.09549832173312704,0.09549832173312704,0.0,0.0,18
14,P->X,0.17912424262613058,0.17912424262613058,0.0,0.0,18
14,R1->P,0.3531080135722566,0.3532819317446815,0.0006283981348174863,0.0017627828261430611,18
14,R1->R1,0.43088309033439054,0.4310190541292328,0.0009765923510189948,0.0029251996208640163,18
14,R1->S,0.07719121668853011,0.07740375730726454,0.0006343619106641805,0.0021117154289694573,18
14,R1->X,0.16944369537378448,0.1691327944300533,0.0007645924106922069,0.0020832734949448595,18
14,S->P,0.3174646446128297,0.3174646446128297,0.0,0.0,18
14,S->R1,0.119838864390367,0.119838864390367,0.0,0.0,18
14,S->S,0.4319500572541181,0.4319500572541181,0.0,0.0,18
14,S->X,0.17137182771770004,0.17137182771770004,0.0,0.0,18
14,X->P,0.4084436013363302,0.4084436013363302,0.0,0.0,18
14,X->R1,0.14491234017380825,0.14491234017380825,0.0,0.0,18
14,X->S,0.10266820398262805,0.10266820398262805,0.0,0.0,18
14,X->X,0.3755175958180593,0.3755175958180593,0.0,0.0,18
24,P->P,0.2192257915933927,0.2192257915933927,0.0,0.0,18
24,P->R1,0.16052015151621568,0.16052015151621568,0.0,0.0,18
24,P->S,0.18011930191682446,0.18011930191682446,0.0,0.0,18
24,P->X,0.470118921664026,0.470118921664026,0.0,0.0,18
24,R1->P,0.11235877901340036,0.11287299858929674,0.000542898175422276,0.002555089838364555,18
24,R1->R1,0.29213231724072125,0.29218457532084846,0.0008884777430615392,0.0021356414346133668,18
24,R1->S,0.1363799088920643,0.13526377413007948,0.0013387281131121073,0.0029763894922593126,18
24,R1->X,0.5128657116609462,0.5125892364900876,0.0008562000748378719,0.0020180870504941106,18
24,S->P,0.0949134319926326,0.0949134319926326,0.0,0.0,18
24,S->R1,0.19238850922366374,0.19238850922366374,0.0,0.0,18
24,S->S,0.4211840539975883,0.4211840539975883,0.0,0.0,18
24,S->X,0.3525202017204434,0.3525202017204434,0.0,0.0,18
24,X->P,0.26135192273391616,0.26135192273391616,0.0,0.0,18
24,X->R1,0.0416566397373875,0.0416566397373875,0.0,0.0,18
24,X->S,0.052919445352421865,0.052919445352421865,0.0,0.0,18
24,X->X,0.6802288360065885,0.6802288360065885,0.0,0.0,18
