step,edge,mean_light,mean_heavy_slice,mean_abs_diff,max_abs_diff,count
0,P->P,0.5254065981134772,0.5254065981134772,0.0,0.0,24
0,P->R1,0.11818673721669863,0.11818673721669863,0.0,0.0,24
0,P->S,0.11811786777495097,0.11811786777495097,0.0,0.0,24
0,P->X,0.255528663052246,0.255528663052246,0.0,0.0,24
0,R1->P,0.184390927306559,0.18498544136345316,0.0006906949896730664,0.007133063148049734,24
0,R1->R1,0.5326648660223273,0.5324142288927939,0.0008578693822902799,0.004622627707088711,24
0,R1->S,0.11850128220576867,0.1183652650637954,0.0009411666177067103,0.0041651305030373925,24
0,R1->X,0.21042122074640265,0.21023880410939455,0.0005433507008003219,0.0027926108416388984,24
0,S->P,0.18961557699481538,0.18961557699481538,0.0,0.0,24
0,S->R1,0.11445565404845219,0.11445565404845219,0.0,0.0,24
0,S->S,0.5865284204483032,0.5865284204483032,0.0,0.0,24
0,S->X,0.1710339126487573,0.1710339126487573,0.0,0.0,24
0,X->P,0.21546037072160593,0.21546037072160593,0.0,0.0,24
0,X->R1,0.09084690822540627,0.09084690822540627,0.0,0.0,24
0,X->S,0.11436597610979031,0.11436597610979031,0.0,0.0,24
0,X->X,0.624216225463897,0.624216225463897,0.0,0.0,24
14,P->P,0.5288689664254586,0.5288689664254586,0.0,0.0,24
14,P->R1,0.08935298941408594,0.08935298941408594,0.0,0.0,24
14,P->S,0.09146062090682487,0.09146062090682487,0.0,0.0,24
14,P->X,0.3063756764555971,0.3063756764555971,0.0,0.0,24
14,R1->P,0.16177071034497417,0.16243692974254087,0.0008364322962805521,0.005154988344977893,24
14,R1->R1,0.5659999488031163,0.5656075971383675,0.0010177832023770138,0.004502015955307859,24
14,R1->S,0.09912863329929465,0.09888961443714067,0.0007327641634380131,0.002841276281020211,24
14,R1->X,0.2177285221861858,0.2175301918212105,0.0005423686667984581,0.001621933544383336,24
14,S->P,0.15211474046330242,0.15211474046330242,0.0,0.0,24
14,S->R1,0.10402123118732491,0.10402123118732491,0.0,0.0,24
14,S->S,0.6194988874828115,0.6194988874828115,0.0,0.0,24
14,S->X,0.1892017768878563,0.1892017768878563,0.0,0.0,24
14,X->P,0.20420154107462926,0.20420154107462926,0.0,0.0,24
14,X->R1,0.09398510224127676,0.09398510224127676,0.0,0.0,24
14,X->S,0.08334125419302534,0.08334125419302534,0.0,0.0,24
14,X->X,0.6587021534408753,0.6587021534408753,0.0,0.0,24
27,P->P,0.5193058826650182,0.5193058826650182,0.0,0.0,24
27,P->R1,0.07136282962164842,0.07136282962164842,0.0,0.0,24
27,P->S,0.08608991117216647,0.08608991117216647,0.0,0.0,24
27,P->X,0.34153805455813807,0.34153805455813807,0.0,0.0,24
27,R1->P,0.12139193056232306,0.12209768154785065,0.0008081156491101045,0.004785116981057547,24
27,R1->R1,0.5692519384856317,0.5690067612073001,0.0012204378258948347,0.0045214260325712186,24
27,R1->S,0.10880900349687128,0.10842810739196983,0.0007540597489067167,0.002795023076674563,24
27,R1->X,0.24670730735741409,0.24633921332219066,0.0008417709785349265,0.0020832734949448595,24
27,S->P,0.1372006101163981,0.1372006101163981,0.0,0.0,24
27,S->R1,0.12588722185761322,0.12588722185761322,0.0,0.0,24
27,S->S,0.582698795433138,0.582698795433138,0.0,0.0,24
27,S->X,0.22080936969495288,0.22080936969495288,0.0,0.0,24
27,X->P,0.21147662672471293,0.21147662672471293,0.0,0.0,24
27,X->R1,0.07098233936509739,0.07098233936509739,0.0,0.0,24
27,X->S,0.07946821228445818,0.07946821228445818,0.0,0.0,24
27,X->X,0.6789074931293726,0.6789074931293726,0.0,0.0,24
