head,edge,mean_light,mean_heavy_slice,mean_abs_diff,max_abs_diff,count
0,P->P,0.4831927986815572,0.4831927986815572,0.0,0.0,12
0,P->R1,0.08015001559397206,0.08015001559397206,0.0,0.0,12
0,P->S,0.12752282347840568,0.12752282347840568,0.0,0.0,12
0,P->X,0.3232860496888558,0.3232860496888558,0.0,0.0,12
0,R1->P,0.29350339584326485,0.29382080004057465,0.0003311939711006778,0.0017627828261430611,12
0,R1->R1,0.4370269784886463,0.4372996226245282,0.00048367803295453187,0.0013234475079704766,12
0,R1->S,0.10163048026608486,0.10168552690861271,0.0007886384047713899,0.0016204469344195394,12
0,R1->X,0.21553355426180598,0.21505710541033277,0.0006607960836560126,0.001217028673957371,12
0,S->P,0.27062093519477864,0.27062093519477864,0.0,0.0,12
0,S->R1,0.08376627722207237,0.08376627722207237,0.0,0.0,12
0,S->S,0.519786042325637,0.519786042325637,0.0,0.0,12
0,S->X,0.1970099800941991,0.1970099800941991,0.0,0.0,12
0,X->P,0.19813347002491355,0.19813347002491355,0.0,0.0,12
0,X->R1,0.03637015511048958,0.03637015511048958,0.0,0.0,12
0,X->S,0.07005806919187307,0.07005806919187307,0.0,0.0,12
0,X->X,0.7431258286039034,0.7431258286039034,0.0,0.0,12
4,P->P,0.6090516783297062,0.6090516783297062,0.0,0.0,12
4,P->R1,0.10018823551945388,0.10018823551945388,0.0,0.0,12
4,P->S,0.09232782564746837,0.09232782564746837,0.0,0.0,12
4,P->X,0.21557011579473814,0.21557011579473814,0.0,0.0,12
4,R1->P,0.04539395821299039,0.04585943308969339,0.000470749741675807,0.0014964973225313066,12
4,R1->R1,0.629154083775539,0.6287097159553977,0.0013004541397094727,0.0029251996208640163,12
4,R1->S,0.14774261707184363,0.14744727868659824,0.001350965277821415,0.0029763894922593126,12
4,R1->X,0.22418653490204435,0.22424843217081883,0.0007679341543538874,0.0019348088432761257,12
4,S->P,0.07034619495856996,0.07034619495856996,0.0,0.0,12
4,S->R1,0.1869284972256305,0.1869284972256305,0.0,0.0,12
4,S->S,0.6289266067392686,0.6289266067392686,0.0,0.0,12
4,S->X,0.17646143001084236,0.17646143001084236,0.0,0.0,12
4,X->P,0.13311910000629723,0.13311910000629723,0.0,0.0,12
4,X->R1,0.20038567724016806,0.20038567724016806,0.0,0.0,12
4,X->S,0.1685317006583015,0.1685317006583015,0.0,0.0,12
4,X->X,0.5479227708031734,0.5479227708031734,0.0,0.0,12
8,P->P,0.4190582459171613,0.4190582459171613,0.0,0.0,12
8,P->R1,0.09964395702506106,0.09964395702506106,0.0,0.0,12
8,P->S,0.09418339266752203,0.09418339266752203,0.0,0.0,12
8,P->X,0.41307412801931304,0.41307412801931304,0.0,0.0,12
8,R1->P,0.17785809437433878,0.17921513070662817,0.0015799617942641806,0.007133063148049734,12
8,R1->R1,0.6095732409580081,0.6086510016637691,0.0015942150471257275,0.004622627707088711,12
8,R1->S,0.10653628905614217,0.10584153848535875,0.0009783401208765397,0.0041651305030373925,12
8,R1->X,0.14230824627128302,0.14209829051704967,0.0006848452430145355,0.0027926108416388984,12
8,S->P,0.1585995927453041,0.1585995927453041,0.0,0.0,12
8,S->R1,0.08946376396160499,0.08946376396160499,0.0,0.0,12
8,S->S,0.6752720510258393,0.6752720510258393,0.0,0.0,12
8,S->X,0.12975861921029933,0.12975861921029933,0.0,0.0,12
8,X->P,0.24135813877607384,0.24135813877607384,0.0,0.0,12
8,X->R1,0.02993684036967655,0.02993684036967655,0.0,0.0,12
8,X->S,0.061855024502923094,0.061855024502923094,0.0,0.0,12
8,X->X,0.7018509929378828,0.7018509929378828,0.0,0.0,12
12,P->P,0.5068022894362608,0.5068022894362608,0.0,0.0,12
12,P->R1,0.1279369065693269,0.1279369065693269,0.0,0.0,12
12,P->S,0.10042833381642897,0.10042833381642897,0.0,0.0,12
12,P->X,0.27971061567465466,0.27971061567465466,0.0,0.0,12
12,R1->P,0.04638970154280519,0.046403578913419084,7.598397239823792e-05,0.00037618945626652356,12
12,R1->R1,0.6504335122949937,0.6508374366105771,0.00044817199894027726,0.0017354628619026258,12
12,R1->S,0.11027362416772281,0.11009214730823741,0.0005806678650425948,0.001453890519983625,12
12,R1->X,0.2492032743552152,0.248865038448689,0.0005077526849858795,0.0020832734949448595,12
12,S->P,0.0802815744845087,0.0802815744845087,0.0,0.0,12
12,S->R1,0.16517351538527245,0.16517351538527245,0.0,0.0,12
12,S->S,0.5941171505871942,0.5941171505871942,0.0,0.0,12
12,S->X,0.23834567443997254,0.23834567443997254,0.0,0.0,12
12,X->P,0.06670932721317513,0.06670932721317513,0.0,0.0,12
12,X->R1,0.18821402227816483,0.18821402227816483,0.0,0.0,12
12,X->S,0.13069789577275515,0.13069789577275515,0.0,0.0,12
12,X->X,0.6601883450057358,0.6601883450057358,0.0,0.0,12
16,P->P,0.45328494689116877,0.45328494689116877,0.0,0.0,12
16,P->R1,0.0927138061573108,0.0927138061573108,0.0,0.0,12
16,P->S,0.09264117347386976,0.09264117347386976,0.0,0.0,12
16,P->X,0.3758483249694109,0.3758483249694109,0.0,0.0,12
16,R1->P,0.18240575670429013,0.18369130401269476,0.0012855473084046583,0.004785116981057547,12
16,R1->R1,0.5312776962916056,0.5299473206202189,0.0014271759519389991,0.0045214260325712186,12
16,R1->S,0.08817343676791473,0.08824624501022638,0.0004208678123997697,0.001229650834027457,12
16,R1->X,0.24073340027940038,0.24081136227822772,0.0005551661346472955,0.0011389115277458672,12
16,S->P,0.18460775564159906,0.18460775564159906,0.0,0.0,12
16,S->R1,0.0794672311521044,0.0794672311521044,0.0,0.0,12
16,S->S,0.6276860003377877,0.6276860003377877,0.0,0.0,12
16,S->X,0.1777958718000674,0.1777958718000674,0.0,0.0,12
16,X->P,0.1927160007568697,0.1927160007568697,0.0,0.0,12
16,X->R1,0.025811409461311996,0.025811409461311996,0.0,0.0,12
16,X->S,0.07201131122807662,0.07201131122807662,0.0,0.0,12
16,X->X,0.7613407745957375,0.7613407745957375,0.0,0.0,12
20,P->P,0.6757729351520538,0.6757729351520538,0.0,0.0,12
20,P->R1,0.057172191639741264,0.057172191639741264,0.0,0.0,12
20,P->S,0.08423325062418978,0.08423325062418978,0.0,0.0,12
20,P->X,0.19939555398498973,0.19939555398498973,0.0,0.0,12
20,R1->P,0.18955622975002318,0.19004985854467926,0.0009270490822838843,0.002555089838364555,12
20,R1->R1,0.47836799481335807,0.4786120770024318,0.000938485650455248,0.0018273101133458869,12
