step,edge,mean,std,max
7,X->P,0.2662939683289733,0.22762609015308805,0.9960644841194153
7,S->R1,0.10943355928905599,0.08642235917385147,0.8416988148408777
7,R1->S,0.10137296698861653,0.07121540741079194,0.8564964743221507
7,S->X,0.15057984392980445,0.1289267534642237,0.8142204284667969
7,R1->X,0.16844236948215813,0.17739983445976876,0.9523582458496094
7,X->X,0.5649400619751153,0.2630588205684909,0.9885892868041992
7,S->S,0.5892861423422308,0.2875426670513431,0.9754438961253447
7,R1->R1,0.5776070686602692,0.3074649754192413,0.9982615078196806
7,P->P,0.6525093726689617,0.273433893691985,0.9938265681266785
8,X->S,0.09105061178922673,0.06693826040238958,0.43721771240234375
8,X->R1,0.10951491013268727,0.1470673235997241,0.6991577744483948
8,X->P,0.26852136648473485,0.22881262472151961,0.9948574304580688
8,S->R1,0.10838661832433633,0.08492959555380887,0.8262221392463235
8,R1->S,0.10024632389779892,0.06918553517169561,0.84607214086196
8,S->X,0.15094391299886445,0.12792819346452478,0.8081560695872587
8,R1->X,0.17031617117518394,0.17784325108018403,0.9533177544088924
8,X->X,0.5653958428837359,0.26095719118120514,0.9883208274841309
8,S->S,0.5879537873125324,0.28680332335770814,0.9741865045884076
8,R1->R1,0.5760562262003603,0.3078257359128121,0.9981682721306296
8,P->P,0.6539309798305233,0.2738052183272929,0.9937657713890076
9,X->S,0.09044846044208195,0.06549773507125718,0.4161643087863922
9,X->R1,0.10810184670995417,0.1459808553847714,0.7019906044006348
9,X->P,0.2689935978374948,0.22997453856230085,0.993748664855957
9,S->R1,0.10751786759392559,0.08376632344752484,0.8123286191154929
9,R1->S,0.09969561345577663,0.06783675534816899,0.8446353463565602
9,S->X,0.15158454092146428,0.1276572988230739,0.8037732068230125
9,R1->X,0.17203665259756448,0.17863575250802757,0.9527991799747243
9,X->X,0.5668838743213565,0.26012598116734414,0.9880639314651489
9,S->S,0.5877488296143892,0.28617845006115106,0.974104600794175
9,R1->R1,0.5751130485784068,0.3081749401132106,0.9981566036448759
9,P->P,0.6546720801868166,0.27363927890316125,0.9931075572967529
10,X->S,0.08936475621235634,0.06364512088596704,0.3827905058860779
10,X->R1,0.10753606262995163,0.145938134894289,0.7042890787124634
10,X->P,0.271491290886576,0.23156841284949276,0.9922233819961548
10,S->R1,0.10711764671940212,0.0827737125367808,0.7984145108391257
10,R1->S,0.09918549353565265,0.06676726235590655,0.8469933902516085
10,S->X,0.15172680294689012,0.12680628347828152,0.7915236529181985
10,R1->X,0.17335218432093466,0.17870236121749908,0.9519278582404641
10,X->X,0.5659056168165989,0.2592784423893245,0.987577497959137
10,S->S,0.5868286678162129,0.2852870530723205,0.9738340938792509
10,R1->R1,0.5730395328390524,0.3081075856050694,0.9980786267448875
10,P->P,0.65675279117655,0.27435483590452286,0.9934264421463013
11,X->S,0.08786381866191126,0.06160368186123914,0.3582916855812073
11,X->R1,0.10575469725881703,0.14438450489532836,0.7046046853065491
11,X->P,0.2709310222446705,0.23227183348445965,0.9897860884666443
11,S->R1,0.10627608027925496,0.08163292015165792,0.7833205952363855
11,R1->S,0.09849503253095535,0.06519005193672274,0.836511163150563
11,S->X,0.15344910467883535,0.12767510614341104,0.7924183677224552
11,R1->X,0.17544524676673223,0.17988680519855246,0.9526082207174862
11,X->X,0.5698190219483028,0.25767675144904795,0.9869391918182373
11,S->S,0.586253477133281,0.28510307870122664,0.9742611155790442
11,R1->R1,0.5719402592481422,0.30860593700684724,0.9981150907628676
11,P->P,0.6566287815974404,0.27510659036516677,0.9930890798568726
12,X->S,0.08788684964655355,0.06111146376738493,0.3380398750305176
12,X->R1,0.105670305583335,0.1444099147133505,0.7016689777374268
12,X->P,0.27243034370903235,0.23386702616843383,0.9900974035263062
12,S->R1,0.10630154899837377,0.08093896975664157,0.7688788245705998
12,R1->S,0.09860111083054124,0.06477293104705013,0.8375802881577435
12,S->X,0.15323618940278594,0.12684372489601786,0.7888989168054917
12,R1->X,0.17596836487627954,0.1795896700712138,0.9536418914794922
12,X->X,0.568368658660911,0.2580709689732522,0.9861316680908203
12,S->S,0.586344365941945,0.2841992780065793,0.9739725449505974
12,R1->R1,0.5711525493821896,0.3081561667326574,0.9981121736414292
12,P->P,0.6568897199739392,0.27607654131988374,0.9939943552017212
13,X->S,0.0863845328768851,0.05911157613264458,0.3264473080635071
13,X->R1,0.10395859789399159,0.142505606869022,0.7013282775878906
13,X->P,0.2730470420895532,0.23443404235557913,0.9886190891265869
13,S->R1,0.10606126356837978,0.08017949321831778,0.756752238554113
13,R1->S,0.09798781892385758,0.06372711475895276,0.8317458769854378
13,S->X,0.1545639486603585,0.12695516093348155,0.7883566127103918
13,R1->X,0.17788215415814762,0.18035333267356257,0.9538325141457951
13,X->X,0.5709161930267389,0.2563977580530496,0.9852994680404663
13,S->S,0.5851243083241086,0.28372325362003903,0.9739485347972197
13,R1->R1,0.5696471893640268,0.30825642584562346,0.9980580946978401
13,P->P,0.6559759914750855,0.2770984193278308,0.993828296661377
14,X->S,0.08608628411830675,0.058685453923943885,0.3227585256099701
14,X->R1,0.10326468851000148,0.1417537722659523,0.6986259818077087
14,X->P,0.2728984231421297,0.23548500433087863,0.9885954856872559
14,S->R1,0.1057978396114948,0.07930183152619061,0.7484958873075598
14,R1->S,0.0979512387957263,0.06280200473809826,0.818046064937816
14,S->X,0.15444649249534398,0.12666661683889213,0.7868351655847886
14,R1->X,0.17800748928105367,0.18044365822491376,0.9559079338522518
14,X->X,0.5720700491142149,0.25636892781961784,0.9839721918106079
14,S->S,0.5861712821845111,0.28306729268971653,0.9737941517549402
14,R1->R1,0.5700910523455583,0.30805849348898096,0.9981082467471852
14,P->P,0.655842476648589,0.2782615937700856,0.9943104386329651
15,X->S,0.08514274113345892,0.05727016958511456,0.31560227274894714
15,X->R1,0.1013488119788235,0.139172940415415,0.6965013742446899
15,X->P,0.2723818583688505,0.2355877427210691,0.9871940016746521
15,S->R1,0.10592806232664004,0.07836570278690698,0.7380669537712546
15,R1->S,0.09784915172416765,0.061734319789001464,0.8034943973316866
15,S->X,0.155520598260211,0.12668403918207596,0.7866212059469784
15,R1->X,0.17960478355829584,0.1808245826937553,0.955525229958927
15,X->X,0.575385506778645,0.254641205208124,0.9826679825782776
15,S->S,0.5854829482379935,0.2820995788304396,0.9737490485696232
15,R1->R1,0.5688515114849867,0.3078494641993479,0.9979607077205882
15,P->P,0.6545799470685112,0.27966387758511696,0.995241641998291
16,X->S,0.08469011345587205,0.056406912003711236,0.30985331535339355
16,X->R1,0.09893393979339939,0.1360145481876816,0.6953519582748413
16,X->P,0.2717843901870462,0.23605164971471712,0.9847555160522461
16,S->R1,0.10599507379151571,0.0771692524969187,0.7292389589197495
16,R1->S,0.09813611355812206,0.06072200475463295,0.7927304436178768
16,S->X,0.15621463360557078,0.1271581272078998,0.7915781806497013
16,R1->X,0.1806232674822312,0.1812081975976516,0.9550971984863281
16,X->X,0.5788346885874247,0.25318215594764537,0.9804044365882874
16,S->S,0.5859552359062375,0.28128862587591175,0.9736509884105009
16,R1->R1,0.5687725727680906,0.3075972636662436,0.9978839649873621
16,P->P,0.6525352698611095,0.28142693174551797,0.9960769414901733
17,X->S,0.08492064333404414,0.05653572471469055,0.30708596110343933
17,X->R1,0.09713342964154435,0.13367905240080824,0.6921896934509277
17,X->P,0.27192336893179647,0.23637133150115516,0.9855273962020874
17,S->R1,0.10563031446798157,0.07617555137829331,0.7182759116677677
17,R1->S,0.09846307727491982,0.06020077330124405,0.7871425853056067
17,S->X,0.15639029665977933,0.12684666513588375,0.7899754468132468
17,R1->X,0.18172344954189043,0.1812939245574384,0.9564904605641085
17,X->X,0.5802814277835812,0.2520202835490516,0.9789096117019653
17,S->S,0.5863903514344666,0.2808742015866397,0.9737021502326516
17,R1->R1,0.5679982157110841,0.3072222448186533,0.9979324340820312
17,P->P,0.6527946836035698,0.2817267104317433,0.9961807727813721
18,X->S,0.08422167707050297,0.05570241549874312,0.29851865768432617
18,X->R1,0.0940782855792592,0.12967525031127153,0.6882281303405762
18,X->P,0.27117757051040825,0.23656565729836998,0.9845581650733948
18,S->R1,0.10571647100294392,0.07511617534397662,0.6977311302633846
18,R1->S,0.0985581837339394,0.05917851275932318,0.770752514109892
18,S->X,0.15757434273540388,0.1270350226073822,0.7874320535098805
18,R1->X,0.18436134285046996,0.18213088611218625,0.9549797282499426
18,X->X,0.5847384173950801,0.25012713550122934,0.9764323234558105
18,S->S,0.5860342385690185,0.2804917776309208,0.973642910228056
18,R1->R1,0.5668109278021282,0.3068709102566823,0.9977368747486788
18,P->P,0.6519473963890535,0.28277918530800694,0.9966054558753967
19,X->S,0.08316814005151779,0.05459754506927444,0.295266717672348
19,X->R1,0.09039270298545792,0.12503648490415106,0.685430645942688
19,X->P,0.2695390053204513,0.23637298325527484,0.9832159280776978
19,S->R1,0.10587790103268571,0.07445301939103946,0.6985280654009651
19,R1->S,0.0984320588355231,0.058258809186836624,0.7637221392463235
19,S->X,0.15927911121325167,0.12754421964147558,0.790621701408835
19,R1->X,0.18752381534363582,0.1837077263037921,0.9538282506606158
19,X->X,0.591153667185766,0.2477138866560955,0.9756923913955688
19,S->S,0.5851009765871362,0.2806263022246896,0.9734539705164292
19,R1->R1,0.5654614764447865,0.3070715016855072,0.997615702012006
19,P->P,0.6502381696520995,0.28309888144118533,0.9971374869346619
20,X->S,0.0827131425771707,0.05411823408235473,0.294258713722229
20,X->R1,0.0880199357001887,0.121938619174461,0.6830748319625854
20,X->P,0.26955827456996,0.23742608640948445,0.98246169090271
20,S->R1,0.10567488206687438,0.07396788667058697,0.7059249877929688
20,R1->S,0.0985593707753972,0.057719929348443146,0.762964641346651
20,S->X,0.15966537635992556,0.12795408472251465,0.793843101052677
20,R1->X,0.18889130682177735,0.18472568402644174,0.9547873104319853
20,X->X,0.5940484825180222,0.24689862096076964,0.9745280742645264
20,S->S,0.5860737593762814,0.28079199014123124,0.9736265294692096
20,R1->R1,0.5654118140713532,0.307337420884863,0.9974973341997933
20,P->P,0.6511229221507286,0.2834366166782742,0.9975576400756836
21,X->S,0.08145943421695848,0.05288524118005325,0.29477226734161377
21,X->R1,0.08395564046261522,0.11707325294069054,0.6814383864402771
21,X->P,0.2686745564153777,0.23790052675892473,0.9828247427940369
21,S->R1,0.10589104907292707,0.07402524666674547,0.7123784457936007
21,R1->S,0.09830150791607094,0.057375377261893956,0.7650219973395852
21,S->X,0.1615805079616314,0.12821017141643185,0.7972363864674288
21,R1->X,0.19290689385733475,0.18635370542902321,0.9537250294404871
21,X->X,0.6003722037374973,0.24526045799965457,0.9739905595779419
21,S->S,0.5842752984533196,0.28147435740311594,0.9733913646024817
21,R1->R1,0.5625745729134825,0.30782887046382235,0.9972464617560891
21,P->P,0.650609564074936,0.28423289797870543,0.9977436065673828
22,X->S,0.08030769689202619,0.05193007890331227,0.29442572593688965
22,X->R1,0.07992898436175892,0.11266712201879013,0.6790669560432434
22,X->P,0.2690605069547989,0.23934272544576765,0.9807372093200684
22,S->R1,0.10616982043987852,0.07390558692564685,0.7147029988905963
22,R1->S,0.09847980648611031,0.05731092648591296,0.7748307620777803
22,S->X,0.16318678866633599,0.1297148325178887,0.8006728677188649
22,R1->X,0.19503477483789217,0.18794933327758348,0.9527909895953011
22,X->X,0.6054049809246014,0.2446942698617848,0.9735280275344849
22,S->S,0.5829935273775082,0.2825591839096921,0.9731873904957491
22,R1->R1,0.5614126166915002,0.3086876778144406,0.9968708262724035
22,P->P,0.6500589058385231,0.2854985104101766,0.998370349407196
23,X->S,0.07914981748268474,0.05069289909874667,0.29380497336387634
23,X->R1,0.07556766800407785,0.10730610134204027,0.6678128242492676
23,X->P,0.27027826572346386,0.24015836761983578,0.9834970831871033
23,S->R1,0.10571133601983698,0.07377843708092077,0.7027222128475413
23,R1->S,0.09844804925712819,0.05743788157950144,0.7887702268712661
23,S->X,0.16559578086888674,0.13021605267235722,0.8033883711870979
23,R1->X,0.19913252762468606,0.1894160543277916,0.9538295970243567
23,X->X,0.6099436958724012,0.2435541264653002,0.9736456274986267
23,S->S,0.5806355188844508,0.28363579571330916,0.9737207749310661
23,R1->R1,0.5581822996858966,0.30898862235130903,0.996849957634421
23,P->P,0.6516946120482559,0.28461088394613127,0.998399555683136
24,X->S,0.07785048710609166,0.049497889890941754,0.29312819242477417
24,X->R1,0.0712285795995073,0.1017799666119122,0.6627599000930786
24,X->P,0.2716972990234353,0.2416795516124352,0.9845925569534302
24,S->R1,0.10558855310561223,0.0737425297445515,0.7144414116354549
24,R1->S,0.09865992172412326,0.05762776590818965,0.8033294677734375
24,S->X,0.16859005731183524,0.13174489051438412,0.8130728777717141
24,R1->X,0.2024680299679155,0.1903473636813878,0.9552595475140739
24,X->X,0.6144803668294723,0.24313239141520293,0.9749857187271118
24,S->S,0.5786201614622648,0.28479018157515623,0.9738986071418313
24,R1->R1,0.5560909209803514,0.3089858749620722,0.9965185277602252
24,P->P,0.6527673114805171,0.2848428728871585,0.9986280202865601
25,X->S,0.07574274478819765,0.047772805941621976,0.29438549280166626
25,X->R1,0.06587957573821768,0.09508983988120194,0.6549743413925171
25,X->P,0.27375433247327846,0.2441853102767365,0.9843391180038452
25,S->R1,0.1063839175645205,0.07446378214461294,0.7192638621610754
25,R1->S,0.09902186818270232,0.05796333968422262,0.8197839400347542
25,S->X,0.1724026110304483,0.13377504946431462,0.8122615814208984
25,R1->X,0.20664728758034898,0.19189951460062493,0.9534375807818245
25,X->X,0.6201813587360084,0.2436528281994871,0.9762040972709656
25,S->S,0.5745769087179089,0.2859879591148644,0.9738861532772288
25,R1->R1,0.5529588950490535,0.3092753274012375,0.9957700617173139
25,P->P,0.6542608868703246,0.28520322268999637,0.9987308382987976
26,X->S,0.07411741077560388,0.04619310857049609,0.2934942841529846
26,X->R1,0.06102743809882668,0.08742435863510606,0.6321851015090942
26,X->P,0.27523972977231703,0.24655420450334442,0.9858220815658569
26,S->R1,0.10727384815319536,0.07446385243482963,0.722560209386489
26,R1->S,0.0998916109995694,0.05820995925745749,0.8318838231703815
26,S->X,0.17772418957167105,0.13576990692098886,0.8217568678014419
26,R1->X,0.2122477441925245,0.19179239331221148,0.9512501884909237
26,X->X,0.625628969866472,0.24363021069175367,0.976958692073822
26,S->S,0.5699411176106272,0.28584752293350113,0.9744470259722542
26,R1->R1,0.5492306945104204,0.30749926205148614,0.9949810925652
26,P->P,0.6561781413542728,0.2858544317195504,0.9988754987716675
27,X->S,0.07145003680081573,0.04358669246631771,0.2857252061367035
27,X->R1,0.053416295518096985,0.0754623071394233,0.5826499462127686
27,X->P,0.27730976631199156,0.24883739066872393,0.9908193945884705
27,S->R1,0.10730843745351497,0.07475131427341457,0.7228757072897518
27,R1->S,0.10011978034805745,0.05776760201734827,0.8461228538961971
27,S->X,0.18754072102444136,0.1406693927913882,0.8256918963264016
27,R1->X,0.22329956745356777,0.19298834517491018,0.9529223722570083
27,X->X,0.6343757431698032,0.24439285829059634,0.975907027721405
27,S->S,0.5619697243696097,0.28573010426067247,0.9737234676585478
27,R1->R1,0.5402421711385735,0.30571126653676256,0.9944953918457031
27,P->P,0.6611122045091664,0.28444540475988195,0.9988212585449219
