name,edge,step,layer,head,entropy,top16_block_mass,segment_mass,max_block_value,mean_block_value,num_blocks_above_01,num_blocks_above_02
ref_transfer_top,X->R1,10,19,0,0.08987568049726473,15.354593276977539,0.6865377426147461,0.6507962346076965,0.04038457199931145,29,26
ref_transfer_top,X->R1,11,19,0,0.09042014391396493,15.343575477600098,0.685331404209137,0.6491957902908325,0.040313612669706345,29,26
ref_transfer_top,X->R1,12,19,0,0.09214860938566873,15.349746704101562,0.6840133666992188,0.6487163305282593,0.040236081928014755,29,26
ref_transfer_top,X->R1,13,19,0,0.09497771945223722,15.360973358154297,0.685325562953949,0.6479409337043762,0.040313269942998886,29,26
ref_transfer_top,X->R1,14,19,0,0.09707996243445842,15.363286018371582,0.6843579411506653,0.6467791199684143,0.040256351232528687,29,26
ref_transfer_top,X->R1,15,19,0,0.0990431913599071,15.370471954345703,0.6879353523254395,0.64615797996521,0.0404667854309082,29,26
ref_transfer_top,X->R1,16,19,0,0.09989175773386516,15.362404823303223,0.6881325840950012,0.6431938409805298,0.040478385984897614,29,26
ref_transfer_top,X->R1,17,19,0,0.10188928022045016,15.320398330688477,0.6837447881698608,0.6385998725891113,0.04022028297185898,29,26
ref_transfer_top,X->R1,18,19,0,0.10255923521097643,15.302204132080078,0.6837483644485474,0.6357221603393555,0.04022049158811569,29,26
ref_transfer_top,X->R1,19,19,0,0.1028442416382359,15.277358055114746,0.685430645942688,0.6354427933692932,0.040319450199604034,29,26
ref_transfer_light,X->R1,0,14,12,0.3553579883671728,11.444341659545898,0.6585476398468018,0.6097019910812378,0.03873809799551964,30,26
ref_transfer_light,X->R1,1,14,12,0.3336152817063502,12.473012924194336,0.6842930316925049,0.6686568856239319,0.04025253280997276,30,26
ref_transfer_light,X->R1,2,14,12,0.32232884587407806,12.820511817932129,0.6894967555999756,0.6968090534210205,0.04055863246321678,29,26
ref_transfer_light,X->R1,3,14,12,0.31594985126334185,12.923640251159668,0.6864643096923828,0.7067198157310486,0.04038025438785553,29,26
ref_transfer_light,X->R1,4,14,12,0.31658668753215385,12.738288879394531,0.6774435639381409,0.7187414169311523,0.039849620312452316,29,26
ref_transfer_light,X->R1,5,14,12,0.3111016120137274,12.813756942749023,0.6848890781402588,0.7185510396957397,0.04028759151697159,29,26
