step,layer,head,entropy,top16,max_segment_mass,dominant_edge
0,0,0,0.7213833604912518,6.271116256713867,0.8151265382766724,X->X
0,0,1,0.5113640936083416,9.592355728149414,0.9614500403404236,X->X
0,0,2,0.3435854766791433,13.252948760986328,0.9745061993598938,X->X
0,0,3,0.6935086909329081,5.18994665145874,0.8489396572113037,X->X
0,0,4,0.8621972940577147,3.354553699493408,0.7758901119232178,X->X
0,0,5,0.32652237906803794,12.897632598876953,0.9591528177261353,X->X
0,0,6,0.6387838966213828,13.080120086669922,0.937777042388916,X->X
0,0,7,0.8785608786164023,3.2392125129699707,0.8755355477333069,X->X
0,0,8,0.5446807148977767,10.142610549926758,0.9266421794891357,X->X
0,0,9,0.6587904655470507,7.239372253417969,0.9467263221740723,X->X
0,0,10,0.868380263486807,5.096867084503174,0.5479009747505188,P->X
0,0,11,0.5079176326988495,8.768228530883789,0.9471434354782104,X->X
0,0,12,0.5186593823423223,13.163241386413574,0.9703437089920044,X->X
0,0,13,0.8467592533134304,5.509659767150879,0.857164204120636,X->X
0,0,14,0.7474975185757992,7.744863510131836,0.8314467668533325,X->X
0,0,15,0.8594724201262337,8.787859916687012,0.6102986335754395,P->P
0,0,16,0.7122211783907157,6.707062721252441,0.8909775018692017,X->X
0,0,17,0.8154403054772073,8.478026390075684,0.6313303709030151,P->P
0,0,18,0.7014892572127975,6.54582405090332,0.9596828818321228,X->X
0,0,19,0.9335623872083096,2.0993640422821045,0.9522377252578735,X->X
0,0,20,0.3321002653405069,11.543313026428223,0.964983344078064,X->X
0,0,21,0.715362588510717,6.333312034606934,0.958413302898407,X->X
0,0,22,0.6775932056372094,4.361352920532227,0.8511143922805786,X->X
0,0,23,0.3652824835989818,11.134571075439453,0.9706471562385559,X->X
0,1,0,0.6122741696735673,6.436772346496582,0.7850269675254822,X->X
0,1,1,0.830713461751663,5.207674980163574,0.8750193119049072,P->P
0,1,2,0.5687802398089636,11.696527481079102,0.8399661569034352,R1->R1
0,1,3,0.8185160613861651,4.435235023498535,0.5833722282858456,S->S
0,1,4,0.798808205262766,4.479724884033203,0.8731085833381204,S->S
0,1,5,0.8153230639222588,7.207244873046875,0.7692667245864868,P->P
0,1,6,0.6876795905889359,7.1470136642456055,0.8999143488266889,R1->R1
0,1,7,0.7504390314319308,6.528507232666016,0.8457981558407054,S->S
0,1,8,0.6375474740242544,8.867837905883789,0.9195034363690544,R1->R1
0,1,9,0.7103613765389631,5.834579944610596,0.7685163021087646,P->P
0,1,10,0.7388566975719,5.729037284851074,0.8512160357306985,S->S
0,1,11,0.7268573394371945,8.785118103027344,0.8681352734565735,P->P
0,1,12,0.7806513218645516,6.270753860473633,0.7996712291941923,S->S
0,1,13,0.8046861554904066,5.9567365646362305,0.6388061046600342,P->P
0,1,14,0.5308541104616002,12.19286823272705,0.9128173589706421,P->P
0,1,15,0.7440690496020594,11.311450004577637,0.7274302244186401,X->P
0,1,16,0.7342015881034966,8.081289291381836,0.7190897464752197,P->P
0,1,17,0.6481162648874893,9.900043487548828,0.7768325244679171,S->S
0,1,18,0.7466493455875632,5.463685035705566,0.8204290165620691,S->S
0,1,19,0.6761602132195029,8.576303482055664,0.855999231338501,P->P
0,1,20,0.7296272650453715,6.944928169250488,0.8338176012039185,P->P
0,1,21,0.5905837692392841,10.446985244750977,0.9971220353070427,R1->P
0,1,22,0.7332775182277613,7.882342338562012,0.7305349111557007,P->P
0,1,23,0.7311904664176063,7.852360725402832,0.8706923092112822,R1->R1
0,2,0,0.231803856736302,11.327816009521484,0.9693818092346191,P->P
0,2,1,0.6438085250103964,4.375569820404053,0.842907190322876,P->P
0,2,2,0.22971811353709384,15.058700561523438,0.9745144844055176,X->X
0,2,3,0.5346596229325807,10.900548934936523,0.8055683584774241,R1->R1
0,2,4,0.1555430593586754,15.164493560791016,0.9770742654800415,X->X
0,2,5,0.7336586982296851,4.15583610534668,0.645996654734892,S->S
0,2,6,0.2852995303826013,11.248217582702637,0.9581753611564636,X->X
0,2,7,0.6937805131430886,7.420308589935303,0.9242523312568665,P->P
0,2,8,0.48027987801993743,13.162714004516602,0.8582876990823185,R1->P
0,2,9,0.15845755679901544,12.223062515258789,0.9745254516601562,X->X
0,2,10,0.780304015958804,6.018261909484863,0.8947441577911377,P->P
0,2,11,0.6824551444156352,4.439706802368164,0.77904212474823,P->P
0,2,12,0.683413840896158,6.760709762573242,0.8711835741996765,P->P
0,2,13,0.6518429743713633,7.137463092803955,0.8072561025619507,P->P
0,2,14,0.18105665991007175,11.752303123474121,0.9665815830230713,X->X
0,2,15,0.4422143338425538,12.753482818603516,0.9189043045043945,X->X
0,2,16,0.6638434345210493,5.869699478149414,0.7895151376724243,P->P
0,2,17,0.5013305218202353,10.088061332702637,0.8767540875603171,R1->R1
0,2,18,0.3989927950275788,13.235342025756836,0.9508864458869485,R1->R1
0,2,19,0.8277747052066947,4.1738080978393555,0.8509777784347534,P->P
0,2,20,0.2582021848974538,13.236982345581055,0.964779257774353,X->X
0,2,21,0.5916949126539388,7.0219831466674805,0.8481584436753217,R1->R1
0,2,22,0.35911390557865636,14.015005111694336,0.9732413291931152,X->X
0,2,23,0.5192417501323626,9.456226348876953,0.9519633054733276,X->X
0,3,0,0.20444050251389972,12.123711585998535,0.958970844745636,X->X
0,3,1,0.54087834798412,10.948606491088867,0.9666982293128967,X->X
0,3,2,0.5663583135149436,11.461809158325195,0.8222815569709329,S->P
0,3,3,0.38590416743114464,9.838253021240234,0.9332106113433838,X->X
0,3,4,0.5908852572036428,6.397936820983887,0.8203856348991394,P->P
0,3,5,0.44121496215721934,10.075244903564453,0.9482560999253217,R1->R1
0,3,6,0.5183603949279063,9.532018661499023,0.816586971282959,P->P
0,3,7,0.496656642433243,6.381967544555664,0.880236962262322,S->S
0,3,8,0.19489573831008677,15.016005516052246,0.9735005497932434,X->X
0,3,9,0.6024743921723092,9.404277801513672,0.9224898955401253,S->S
0,3,10,0.24033416520183115,12.879039764404297,0.9160834550857544,P->P
0,3,11,0.33033046469050276,15.98805046081543,0.998990114997415,R1->P
0,3,12,0.5964236273485453,5.991734504699707,0.8845578361960018,R1->R1
0,3,13,0.3386854381400703,10.066638946533203,0.8931394815444946,P->P
0,3,14,0.42207761098668384,9.150810241699219,0.9174075722694397,P->P
0,3,15,0.5815494967897128,7.735981464385986,0.9246296882629395,P->P
0,3,16,0.6345014215713279,6.894532203674316,0.9338895012350643,R1->R1
0,3,17,0.5196828322652866,9.958823204040527,0.9369853734970093,P->P
0,3,18,0.3341853780526421,14.398039817810059,0.984807014465332,X->X
0,3,19,0.21767310176975205,10.595829963684082,0.9747691750526428,X->X
0,3,20,0.5732128309015475,9.311269760131836,0.9449076933019301,R1->R1
0,3,21,0.5427188897931916,12.041873931884766,0.9719818339628332,S->S
0,3,22,0.271916553973412,11.578977584838867,0.9207500219345093,X->X
0,3,23,0.5870863196301784,6.748432159423828,0.6906227469444275,P->P
0,4,0,0.540589538541628,12.645356178283691,0.9429262946633732,R1->R1
0,4,1,0.6212572628763207,6.815847873687744,0.6902083228616154,R1->R1
0,4,2,0.6723461251053615,7.141457557678223,0.9410694241523743,P->P
0,4,3,0.6123022050773347,6.4502668380737305,0.9666097164154053,P->P
0,4,4,0.42361392304054163,11.922088623046875,0.9623508453369141,P->P
0,4,5,0.2501954683064594,13.477060317993164,0.9426090016084558,S->S
0,4,6,0.6093585427060833,8.449640274047852,0.9461694605210248,R1->R1
0,4,7,0.5991417108705653,7.476409435272217,0.9681386947631836,P->P
0,4,8,0.350720862937512,10.257974624633789,0.9101226329803467,P->P
0,4,9,0.588392897224453,8.169869422912598,0.9307256937026978,P->P
0,4,10,0.8220765719301919,3.965956211090088,0.8513144254684448,P->P
0,4,11,0.5173189326898097,12.278704643249512,0.8895765542984009,P->P
0,4,12,0.38307904019599576,12.578782081604004,0.9352373235365924,S->S
0,4,13,0.5301051050655554,9.924446105957031,0.9629895687103271,P->P
0,4,14,0.6352565733884216,7.783275127410889,0.910568356513977,P->P
0,4,15,0.30492049315972247,10.088254928588867,0.9667685031890869,P->P
0,4,16,0.45004572407882315,8.933956146240234,0.9296235477223116,R1->R1
0,4,17,0.5815923097915007,10.267390251159668,0.9401174187660217,P->P
0,4,18,0.5140426238104263,8.095879554748535,0.9422937631607056,P->P
0,4,19,0.590975768144637,6.962969779968262,0.9001245498657227,P->P
0,4,20,0.537038224192887,7.959612846374512,0.9710369110107422,P->P
0,4,21,0.3808632976951323,9.737336158752441,0.9293670093311983,R1->R1
0,4,22,0.6028445255312308,6.5759735107421875,0.9296310544013977,P->P
0,4,23,0.3384748969806984,13.082042694091797,0.9639488669002757,S->S
0,5,0,0.8034675867587301,4.392960071563721,0.7585651173311121,R1->R1
0,5,1,0.5767766612465983,6.162975311279297,0.7321557437672335,R1->R1
0,5,2,0.5307595114169509,7.9834184646606445,0.8017083897310144,R1->R1
0,5,3,0.6352596853197681,7.089288234710693,0.6106364867266487,R1->R1
0,5,4,0.5650390344719997,10.552961349487305,0.8139538764953613,P->P
0,5,5,0.5391459722825384,7.773078918457031,0.7763887643814087,P->P
0,5,6,0.5360998658242546,10.59423828125,0.7035666634054745,R1->P
0,5,7,0.7138996689732822,5.04825496673584,0.9334906409768498,S->S
0,5,8,0.5281245263458854,8.130976676940918,0.9382584095001221,P->P
0,5,9,0.5235231379424872,9.042642593383789,0.9527935701258042,S->S
0,5,10,0.64005581143747,6.747779846191406,0.8185688467586741,R1->R1
0,5,11,0.7689379348341702,4.813765525817871,0.956521213054657,P->P
0,5,12,0.574717172548076,6.489277362823486,0.9862264394760132,P->P
0,5,13,0.4476694409730071,11.474729537963867,0.8089447021484375,P->P
0,5,14,0.8197198540482746,3.6045351028442383,0.5988054275512695,X->X
0,5,15,0.24803903960936582,15.032758712768555,0.9970377753762638,R1->R1
0,5,16,0.6863292416525225,5.9917144775390625,0.7795796394348145,P->P
0,5,17,0.44058894886771266,10.129575729370117,0.7457631826400757,P->X
0,5,18,0.4498565219136485,10.540458679199219,0.970720648765564,P->P
0,5,19,0.4341109843447727,11.912384033203125,0.8171072567210478,S->P
0,5,20,0.4014629985446856,11.834806442260742,0.9291487301097197,S->P
0,5,21,0.7859711756344084,4.469443321228027,0.4411410093307495,P->P
0,5,22,0.5540381436876354,6.698973655700684,0.9088738385368796,R1->X
0,5,23,0.588651745411755,7.889144420623779,0.6712156534194946,P->P
0,6,0,0.5967946660614291,6.657652854919434,0.8293532203225529,S->S
0,6,1,0.5886565850050526,6.634404182434082,0.7833305807674632,R1->R1
0,6,2,0.5990658022649225,10.515703201293945,0.7926415205001831,P->P
0,6,3,0.4474622988394995,7.731800079345703,0.8504082174862132,S->S
0,6,4,0.5623863111884645,8.11532211303711,0.7535607955035042,S->S
0,6,5,0.6063488862976247,5.367099285125732,0.7827020532944623,R1->R1
0,6,6,0.5911641067335784,10.455495834350586,0.7901656031608582,P->P
0,6,7,0.6725550911933913,6.279632568359375,0.9004349428064683,R1->R1
0,6,8,0.6118615254371685,4.783693790435791,0.9446381961598116,R1->R1
0,6,9,0.6449592543519946,4.221848487854004,0.6540283315321979,R1->R1
0,6,10,0.5565348949137598,5.945197105407715,0.5353808403015137,P->X
0,6,11,0.5769053519373067,10.773209571838379,0.9642292857170105,P->P
0,6,12,0.5125585458910508,11.71444320678711,0.7807338833808899,P->P
0,6,13,0.6252566316534142,7.835631370544434,0.9830292463302612,P->P
0,6,14,0.5926140716085458,7.7080302238464355,0.8443937862620634,S->S
